datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML1M,50,3,4,50,50,471.90663599968,1972.26810693741,2444.17874002457,0.9435596717483643,0.8401773149567106
ML100k,50,3,4,50,50,170.020500183105,1984.28013706207,2154.30363702774,1.0368686043589115,0.8736146667903743
ML1M,100,3,4,50,50,753.308037042618,2182.42974090576,2935.74178004265,0.9909885927832413,0.8392726725363995
ML100k,100,3,4,50,50,304.06643819809,2425.46244001389,2729.54489302635,0.9535473657787019,0.8750879764595398
ML1M,5,4,4,75,25,246.309135913849,941.6590321064,1187.9721801281,0.8686113785551657,0.8616387328442489
ML100k,5,4,4,75,25,37.6966121196747,895.832948923111,933.534548997879,0.9778454018352924,0.8897892698916346
ML1M,20,4,4,75,25,396.414712905884,956.589074134827,1353.00781106949,0.8972015108735508,0.8450287737101536
ML100k,20,4,4,75,25,86.6454920768738,909.104469060898,995.753962039948,1.0966733091115148,0.8783279295154928
ML1M,50,4,4,75,25,750.832324981689,985.176826000214,1736.0131521225,0.9672040182157259,0.8431820602022921
ML100k,50,4,4,75,25,280.748471021652,995.903162002563,1276.65563297272,1.0339095724788925,0.8755189117831252
ML1M,100,4,4,75,25,1174.00300002098,1092.56736397743,2266.57436394691,1.0202571913463183,0.8415078043521962
ML100k,100,4,4,75,25,398.450603961945,1211.68511605263,1610.13972091675,0.9429357352125345,0.8778614371140172
ML1M,5,1,5,5,5,18.333160161972,189.011600017548,207.348761081696,1.109485640443668,0.8846371424447816
ML100k,5,1,5,5,5,2.66473793983459,177.66540813446,180.334015130997,0.9256682429696307,0.8818301529564213
ML1M,20,1,5,5,5,25.7028331756592,191.573982954025,217.27982711792,1.089760484652039,0.8748474136351038
ML100k,20,1,5,5,5,5.785315990448,182.828815937042,188.618133068085,0.9449214640766265,0.8817921662725583
ML1M,50,1,5,5,5,45.0035409927368,197.283684015274,242.291224002838,1.064454455838631,0.8672226680231473
ML100k,50,1,5,5,5,14.975426197052,198.545762062073,213.525189161301,0.9694917056416307,0.8830138865006981
ML1M,100,1,5,5,5,88.6069071292877,219.112154960632,307.723062038422,1.0427594394362467,0.8631916337040171
ML100k,100,1,5,5,5,28.2314231395721,243.870399951935,272.105823993683,0.9696136390677985,0.8850088713429751
ML1M,5,2,5,25,25,81.4815800189972,942.771775007248,1024.25835585594,0.8761000220478654,0.85527094286537
ML100k,5,2,5,25,25,12.393816947937,895.222015142441,907.619832992554,0.943293872715028,0.8786409970103142
ML1M,20,2,5,25,25,131.478484869003,956.961979150772,1088.44446396828,0.8788885737371706,0.8396429929123563
ML100k,20,2,5,25,25,27.3692438602448,910.882369995117,938.255617856979,1.0415037081494642,0.8693105009582198
ML1M,50,2,5,25,25,231.559699058533,986.555556058884,1218.13613009453,0.9029126104880595,0.8381120184915548
ML100k,50,2,5,25,25,77.5776538848877,991.884034156799,1069.46567201614,1.0390040056278123,0.870893371884556
ML1M,100,2,5,25,25,403.726284980774,1092.21796393394,1495.94824695587,0.9308782350660068,0.8372918073822232
ML100k,100,2,5,25,25,135.481900930405,1214.35006713867,1349.83596897125,0.9644718617267318,0.8684141895420352
ML1M,5,3,5,50,50,165.908755064011,1884.11522078514,2050.02797698975,0.865698161237398,0.855545454439247
ML100k,5,3,5,50,50,25.248083114624,1769.03538107872,1794.28746509552,0.955123262088791,0.8758871424216409
ML1M,20,3,5,50,50,259.510248184204,1913.57004308701,2173.08429121971,0.8863812689738737,0.8395280020507782
ML100k,20,3,5,50,50,55.7096700668335,1823.42474985123,1879.13841795921,1.073021696083862,0.8687168198524846
ML1M,50,3,5,50,50,500.649011850357,1979.3314640522,2479.98447489738,0.9421758090163038,0.8366272414491289
ML100k,50,3,5,50,50,176.475359201431,1987.62360596657,2164.10296702385,1.0409409432421808,0.8667829506500194
ML1M,100,3,5,50,50,826.548184156418,2189.38469815254,3015.93688321114,0.9880887014187862,0.8359189997471708
ML100k,100,3,5,50,50,238.194902181625,2428.74525499344,2666.94415712357,0.9469491442010651,0.8649814254495177
ML1M,5,4,5,75,25,247.026803970337,943.544196128845,1190.57500100136,0.8648317031483146,0.8556778367420498
